Name,Category,Density,AirFlowResistivity,Thickness,MaterialDensity,SolidElasticModulus,SolidPoissonRatio,DampingRatio
AirGap,Air,1.204,1,0.005,1.204,0,0,0
AirGap,Air,1.204,1,0.01,1.204,0,0,0
AirGap,Air,1.204,1,0.015,1.204,0,0,0
AirGap,Air,1.204,1,0.02,1.204,0,0,0
AirGap,Air,1.204,1,0.025,1.204,0,0,0
AirGap,Air,1.204,1,0.03,1.204,0,0,0
AirGap,Air,1.204,1,0.035,1.204,0,0,0
AirGap,Air,1.204,1,0.04,1.204,0,0,0
AirGap,Air,1.204,1,0.045,1.204,0,0,0
AirGap,Air,1.204,1,0.05,1.204,0,0,0
AirGap,Air,1.204,1,0.055,1.204,0,0,0
AirGap,Air,1.204,1,0.06,1.204,0,0,0
AirGap,Air,1.204,1,0.065,1.204,0,0,0
AirGap,Air,1.204,1,0.07,1.204,0,0,0
AirGap,Air,1.204,1,0.075,1.204,0,0,0
AirGap,Air,1.204,1,0.08,1.204,0,0,0
AirGap,Air,1.204,1,0.085,1.204,0,0,0
AirGap,Air,1.204,1,0.09,1.204,0,0,0
AirGap,Air,1.204,1,0.095,1.204,0,0,0
AirGap,Air,1.204,1,0.1,1.204,0,0,0
Natural Fibers 110kg/m3 370mm 1724 Rayl/m,Natural Fibers,110,1724,0.37,1500,1500000000,0.23,0.05
Natural Fibers 30kg/m3 100mm 5300 Rayl/m,Natural Fibers,30,5300,0.1,1590,35000000000,0.23,0.05
Natural Fibers 50kg/m3 100mm 25100 Rayl/m,Natural Fibers,50,25100,0.1,1590,35000000000,0.23,0.05
Natural Fibers 70kg/m3 100mm 50000 Rayl/m,Natural Fibers,70,50000,0.1,1590,35000000000,0.23,0.05
Natural Fibers 30kg/m3 100mm 6100 Rayl/m,Natural Fibers,30,6100,0.1,1590,35000000000,0.23,0.05
Natural Fibers 25kg/m3 50mm 4166 Rayl/m,Natural Fibers,25,4166,0.05,1550,9000000000,0.23,0.05
Natural Fibers 10kg/m3 16mm 1600 Rayl/m,Natural Fibers,10,1600,0.016,1590,35000000000,0.23,0.05
Natural Fibers 40kg/m3 45mm 4200 Rayl/m,Natural Fibers,40,4200,0.045,1500,50000000000,0.23,0.05
Natural Fibers 30kg/m3 100mm 3000 Rayl/m,Natural Fibers,30,3000,0.1,1500,50000000000,0.23,0.05
Natural Fibers 55kg/m3 100mm 1600 Rayl/m,Natural Fibers,55,1600,0.1,600,17000000000,0.3,0.05
Natural Fibers 110kg/m3 100mm 100000 Rayl/m,Natural Fibers,110,100000,0.1,600,17000000000,0.3,0.05
Natural Fibers 140kg/m3 100mm 100000 Rayl/m,Natural Fibers,140,100000,0.1,600,17000000000,0.3,0.05
Natural Fibers 180kg/m3 100mm 100000 Rayl/m,Natural Fibers,180,100000,0.1,600,17000000000,0.3,0.05
Natural Fibers 40kg/m3 100mm 50000 Rayl/m,Natural Fibers,40,50000,0.1,600,17000000000,0.3,0.05
Natural Fibers 130kg/m3 100mm 50000 Rayl/m,Natural Fibers,130,50000,0.1,600,17000000000,0.3,0.05
Natural Fibers 185kg/m3 100mm 100000 Rayl/m,Natural Fibers,185,100000,0.1,600,17000000000,0.3,0.05
