Name,Category,Density,ElasticModulus,DampingRatio,Thickness,PoissonRatio
Gypsum 650kg/m3 13mm,Gypsum,650,1.93E+09,0.01,0.013,0.3
Gypsum 810kg/m3 13mm,Gypsum,810,2.22E+09,0.01,0.013,0.3
Gypsum 780kg/m3 16mm,Gypsum,780,2.22E+09,0.01,0.016,0.3
Gypsum 800kg/m3 13mm,Gypsum,800,1.97E+09,0.01,0.013,0.3
Gypsum 1000kg/m3 13mm,Gypsum,1000,3.83E+09,0.01,0.013,0.3
Gypsum 792kg/m3 25mm,Gypsum,792,2.22E+09,0.01,0.025,0.3
Gypsum 1040kg/m3 10mm,Gypsum,1040,3.16E+09,0.01,0.01,0.3
Gypsum 930kg/m3 13mm,Gypsum,930,3.05E+09,0.01,0.013,0.3
Gypsum 641kg/m3 10mm,Gypsum,641,1.55E+09,0.008,0.01,0.3
Gypsum 649kg/m3 13mm,Gypsum,649,2.00E+09,0.008,0.013,0.3
Gypsum 675kg/m3 10mm,Gypsum,675,1.94E+09,0.008,0.01,0.3
Gypsum 740kg/m3 13mm,Gypsum,740,2.48E+09,0.008,0.013,0.3
Gypsum 883kg/m3 16mm,Gypsum,883,3.70E+09,0.01,0.016,0.3
Gypsum 870kg/m3 19mm,Gypsum,870,3.95E+09,0.011,0.019,0.3
Gypsum 764kg/m3 13mm,Gypsum,764,2.48E+09,0.007,0.013,0.3
Gypsum 699kg/m3 10mm,Gypsum,699,2.08E+09,0.008,0.01,0.3
Gypsum 851kg/m3 10mm,Gypsum,851,2.49E+09,0.008,0.01,0.3
Gypsum 856kg/m3 13mm,Gypsum,856,2.58E+09,0.01,0.013,0.3
Gypsum 855kg/m3 10mm,Gypsum,855,2.98E+09,0.008,0.01,0.3
Gypsum 962kg/m3 13mm,Gypsum,962,3.66E+09,0.008,0.013,0.3
Gypsum 792kg/m3 25mm,Gypsum,792,3.00E+09,0.01,0.025,0.3
Gypsum 1300kg/m3 13mm,Gypsum,1300,3.85E+09,0.008,0.013,0.3
Gypsum 877kg/m3 13mm,Gypsum,877,3.95E+09,0.009,0.013,0.3
Gypsum 650kg/m3 10mm,Gypsum,650,1.68E+09,0.01,0.01,0.3
Gypsum 810kg/m3 13mm,Gypsum,810,2.50E+09,0.01,0.013,0.3
Gypsum 820kg/m3 25mm,Gypsum,820,2.50E+09,0.01,0.025,0.3
Gypsum 830kg/m3 10mm,Gypsum,830,2.50E+09,0.01,0.01,0.3
Gypsum 720kg/m3 10mm,Gypsum,720,2.29E+09,0.01,0.01,0.3
Gypsum 650kg/m3 10mm,Gypsum,650,2.22E+09,0.008,0.01,0.3
Gypsum 650kg/m3 13mm,Gypsum,650,2.22E+09,0.008,0.013,0.3
Gypsum 905kg/m3 9.5mm,Gypsum,905,3.36E+09,0.009,0.0095,0.3
Gypsum 860kg/m3 12.5mm,Gypsum,860,3.60E+09,0.01,0.0125,0.3
Gypsum 770kg/m3 16mm,Gypsum,770,2.46E+09,0.008,0.016,0.3
Gypsum 808kg/m3 13mm,Gypsum,808,2.77E+09,0.008,0.013,0.3
Gypsum 813kg/m3 16mm,Gypsum,813,2.47E+09,0.008,0.016,0.3
Gypsum 820kg/m3 13mm,Gypsum,820,3.20E+09,0.008,0.013,0.3
Gypsum 780kg/m3 16mm,Gypsum,780,2.75E+09,0.008,0.016,0.3
Gypsum 950kg/m3 13mm,Gypsum,950,4.00E+09,0.008,0.013,0.3
Gypsum 925kg/m3 16mm,Gypsum,925,3.36E+09,0.008,0.016,0.3
Gypsum 635kg/m3 10mm,Gypsum,635,2.22E+09,0.008,0.01,0.3
Gypsum 623kg/m3 13mm,Gypsum,623,2.22E+09,0.008,0.013,0.3
Gypsum 890kg/m3 13mm,Gypsum,890,3.78E+09,0.008,0.013,0.3
Gypsum 680kg/m3 10mm,Gypsum,680,2.06E+09,0.008,0.01,0.3
Gypsum 840kg/m3 10mm,Gypsum,840,3.20E+09,0.008,0.01,0.3
Gypsum 950kg/m3 13mm,Gypsum,950,4.65E+09,0.008,0.013,0.3
Gypsum 740kg/m3 10mm,Gypsum,740,2.66E+09,0.008,0.01,0.3
Gypsum 740kg/m3 13mm,Gypsum,740,2.66E+09,0.008,0.013,0.3
Gypsum 900kg/m3 13mm,Gypsum,900,3.89E+09,0.008,0.013,0.3
Gypsum 650kg/m3 6.5mm,Gypsum,650,2.22E+09,0.008,0.0065,0.3
Gypsum 690kg/m3 13mm,Gypsum,690,2.65E+09,0.008,0.013,0.3
Gypsum 800kg/m3 13mm,Gypsum,800,2.75E+09,0.008,0.013,0.3
Gypsum 800kg/m3 25mm,Gypsum,800,2.75E+09,0.008,0.025,0.3
Gypsum 1025kg/m3 12.5mm,Gypsum,1025,3.14E+09,0.008,0.0125,0.3
Gypsum 1400kg/m3 12.5mm,Gypsum,1400,2.74E+09,0.005,0.0125,0.3
Gypsum 1424kg/m3 12.5mm,Gypsum,1424,4.87E+09,0.005,0.0125,0.3
